type,local_path,remote_path,size,md5,sha1,source_pdf,source_pages,preflight_status
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00117.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00117.jpg",640172,fc1aee650e229ef1c69044b2349745e9,316860c8a8b822da926226c48caa3015e91e7a00,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00118.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00118.jpg",603138,66fee006e99c8c57cc33dfa39c2b5e48,64f80569bf646641d08f44de7cc7070204a5be79,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00119.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00119.jpg",671206,acc2a24683b00b3848b4babe4d4016b2,2c896a6237e3b53d7fe8c7613e906ffc1fed3357,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00120.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00120.jpg",835947,617ea81c5692b99496f1ca4bbe08f439,b6f2c479fe49c0cd1d2a85f1b93892cb6423f487,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00121.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00121.jpg",631388,f5a66971755e4a68b09759bd1a813536,192d2ffa534d3e893929ff52ff39342f35e9ea10,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00122.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00122.jpg",682543,a732b4146952c27e9d8cbd8394c1cbd6,2a973889da827aa69838143be85e05cce5585526,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00123.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00123.jpg",933767,4f7807ab2b8ee3d64ff67c78375f7483,de021f8e9688483cd562f19dff21ff9fa5a3df0d,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00124.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00124.jpg",636385,e5b0835a78c327d34fdfe4a1f65b6bf2,339f1b36958e9beb6e5d6e0bdec04c56eaca8b62,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00125.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00125.jpg",684960,63f8676547427fbb1fa7c1f5bc7f705a,fdd15eca8dbd2e9f90504cce6ee5b4b554e6da00,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00126.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00126.jpg",877821,a1e7cd31e9cbf4eafce5ddf2bb6182e0,85e5b66e98e2590ce485048112c43533c4a2dba1,,,already-present-matching
